RUN	ResgasaSimulation	resgasasimulation	1582733466375	 	3.3.1
USER	Pedido	11	START	1582733468963	1582733468963
USER	Pedido	10	START	1582733468958	1582733468958
USER	Pedido	2	START	1582733468934	1582733468934
USER	Pedido	13	START	1582733469043	1582733469043
USER	Pedido	14	START	1582733469043	1582733469043
USER	Pedido	15	START	1582733469044	1582733469044
USER	Pedido	3	START	1582733468937	1582733468937
USER	Pedido	16	START	1582733469045	1582733469045
USER	Pedido	18	START	1582733469046	1582733469046
USER	Pedido	17	START	1582733469046	1582733469046
USER	Pedido	19	START	1582733469047	1582733469047
USER	Pedido	20	START	1582733469047	1582733469047
USER	Pedido	6	START	1582733468943	1582733468943
USER	Pedido	22	START	1582733469048	1582733469048
USER	Pedido	21	START	1582733469048	1582733469048
USER	Pedido	24	START	1582733469049	1582733469049
USER	Pedido	25	START	1582733469049	1582733469049
USER	Pedido	23	START	1582733469049	1582733469049
USER	Pedido	5	START	1582733468942	1582733468942
USER	Pedido	27	START	1582733469050	1582733469050
USER	Pedido	28	START	1582733469050	1582733469050
USER	Pedido	1	START	1582733468934	1582733468934
USER	Pedido	29	START	1582733469050	1582733469050
USER	Pedido	30	START	1582733469051	1582733469051
USER	Pedido	32	START	1582733469051	1582733469051
USER	Pedido	33	START	1582733469051	1582733469051
USER	Pedido	34	START	1582733469051	1582733469051
USER	Pedido	35	START	1582733469052	1582733469052
USER	Pedido	36	START	1582733469052	1582733469052
USER	Pedido	37	START	1582733469052	1582733469052
USER	Pedido	38	START	1582733469052	1582733469052
USER	Pedido	39	START	1582733469052	1582733469052
USER	Pedido	42	START	1582733469053	1582733469053
USER	Pedido	43	START	1582733469054	1582733469054
USER	Pedido	31	START	1582733469051	1582733469051
USER	Pedido	44	START	1582733469055	1582733469055
USER	Pedido	45	START	1582733469055	1582733469055
USER	Pedido	46	START	1582733469055	1582733469055
USER	Pedido	47	START	1582733469056	1582733469056
USER	Pedido	41	START	1582733469053	1582733469053
USER	Pedido	49	START	1582733469056	1582733469056
USER	Pedido	50	START	1582733469057	1582733469057
USER	Pedido	51	START	1582733469057	1582733469057
USER	Pedido	52	START	1582733469057	1582733469057
USER	Pedido	8	START	1582733468944	1582733468944
USER	Pedido	54	START	1582733469058	1582733469058
USER	Pedido	55	START	1582733469058	1582733469058
USER	Pedido	56	START	1582733469058	1582733469058
USER	Pedido	59	START	1582733469059	1582733469059
USER	Pedido	58	START	1582733469059	1582733469059
USER	Pedido	60	START	1582733469059	1582733469059
USER	Pedido	53	START	1582733469057	1582733469057
USER	Pedido	63	START	1582733469060	1582733469060
USER	Pedido	64	START	1582733469061	1582733469061
USER	Pedido	48	START	1582733469056	1582733469056
USER	Pedido	40	START	1582733469053	1582733469053
USER	Pedido	57	START	1582733469058	1582733469058
USER	Pedido	12	START	1582733468976	1582733468976
USER	Pedido	66	START	1582733469063	1582733469063
USER	Pedido	68	START	1582733469065	1582733469065
USER	Pedido	61	START	1582733469060	1582733469060
USER	Pedido	71	START	1582733469068	1582733469068
USER	Pedido	67	START	1582733469064	1582733469064
USER	Pedido	65	START	1582733469061	1582733469061
USER	Pedido	73	START	1582733469069	1582733469069
USER	Pedido	72	START	1582733469068	1582733469068
USER	Pedido	62	START	1582733469060	1582733469060
USER	Pedido	69	START	1582733469065	1582733469065
USER	Pedido	7	START	1582733468956	1582733468956
USER	Pedido	70	START	1582733469066	1582733469066
