RUN	ResgasaSimulation	resgasasimulation	1581539237026	 	3.3.1
USER	Pedido	4	START	1581539239367	1581539239367
USER	Pedido	1	START	1581539239367	1581539239367
USER	Pedido	2	START	1581539239367	1581539239367
USER	Pedido	3	START	1581539239367	1581539239367
REQUEST	4		ResgasaToken	1581539239445	1581539239573	OK	 
REQUEST	2		ResgasaToken	1581539239445	1581539239573	OK	 
REQUEST	1		ResgasaToken	1581539239445	1581539239573	OK	 
REQUEST	3		ResgasaToken	1581539239445	1581539239573	OK	 
REQUEST	1		Pedido	1581539239715	1581539239800	KO	status.find.is(200), but actually found 500
REQUEST	4		Pedido	1581539239712	1581539239830	OK	 
REQUEST	4		Pedido	1581539240734	1581539250200	OK	 
REQUEST	3		Pedido	1581539239716	1581539253488	OK	 
REQUEST	1		Pedido	1581539240706	1581539255338	OK	 
REQUEST	2		Pedido	1581539239713	1581539258278	OK	 
REQUEST	4		Pedido	1581539251206	1581539264011	OK	 
REQUEST	1		Pedido	1581539256333	1581539269421	OK	 
REQUEST	1		Pedido	1581539270433	1581539270501	OK	 
USER	Pedido	1	END	1581539239367	1581539271507
REQUEST	2		Pedido	1581539259183	1581539274612	OK	 
REQUEST	4		Pedido	1581539265014	1581539279776	OK	 
USER	Pedido	4	END	1581539239367	1581539280772
REQUEST	3		Pedido	1581539254384	1581539285619	OK	 
REQUEST	3		Pedido	1581539286624	1581539299050	OK	 
REQUEST	3		Pedido	1581539300053	1581539300118	OK	 
USER	Pedido	3	END	1581539239367	1581539301112
REQUEST	2		Pedido	1581539275613	1581539304242	OK	 
REQUEST	2		Pedido	1581539305242	1581539317213	OK	 
USER	Pedido	2	END	1581539239367	1581539318212
