RUN	ResgasaSimulation	resgasasimulation	1582314750170	 	3.3.1
USER	Pedido	8	START	1582314754269	1582314754269
USER	Pedido	11	START	1582314754282	1582314754282
USER	Pedido	3	START	1582314754241	1582314754241
USER	Pedido	1	START	1582314754224	1582314754224
USER	Pedido	13	START	1582314754376	1582314754376
USER	Pedido	16	START	1582314754377	1582314754377
USER	Pedido	17	START	1582314754378	1582314754378
USER	Pedido	10	START	1582314754281	1582314754281
USER	Pedido	14	START	1582314754376	1582314754376
USER	Pedido	20	START	1582314754380	1582314754380
USER	Pedido	19	START	1582314754380	1582314754380
USER	Pedido	4	START	1582314754230	1582314754230
USER	Pedido	18	START	1582314754379	1582314754379
USER	Pedido	22	START	1582314754382	1582314754382
USER	Pedido	21	START	1582314754382	1582314754382
USER	Pedido	25	START	1582314754384	1582314754384
USER	Pedido	27	START	1582314754386	1582314754386
USER	Pedido	28	START	1582314754386	1582314754386
USER	Pedido	24	START	1582314754382	1582314754382
USER	Pedido	23	START	1582314754382	1582314754382
USER	Pedido	15	START	1582314754377	1582314754377
USER	Pedido	33	START	1582314754388	1582314754388
USER	Pedido	31	START	1582314754386	1582314754386
USER	Pedido	34	START	1582314754390	1582314754390
USER	Pedido	26	START	1582314754385	1582314754385
USER	Pedido	29	START	1582314754386	1582314754386
USER	Pedido	30	START	1582314754386	1582314754386
USER	Pedido	37	START	1582314754393	1582314754393
USER	Pedido	32	START	1582314754387	1582314754387
USER	Pedido	38	START	1582314754394	1582314754394
USER	Pedido	35	START	1582314754391	1582314754391
USER	Pedido	39	START	1582314754394	1582314754394
USER	Pedido	43	START	1582314754396	1582314754396
USER	Pedido	36	START	1582314754391	1582314754391
USER	Pedido	42	START	1582314754395	1582314754395
USER	Pedido	47	START	1582314754402	1582314754402
USER	Pedido	48	START	1582314754403	1582314754403
USER	Pedido	44	START	1582314754398	1582314754398
USER	Pedido	9	START	1582314754271	1582314754271
USER	Pedido	50	START	1582314754406	1582314754406
USER	Pedido	45	START	1582314754398	1582314754398
USER	Pedido	53	START	1582314754409	1582314754409
USER	Pedido	54	START	1582314754410	1582314754410
USER	Pedido	40	START	1582314754394	1582314754394
USER	Pedido	41	START	1582314754395	1582314754395
USER	Pedido	56	START	1582314754411	1582314754411
USER	Pedido	57	START	1582314754412	1582314754412
USER	Pedido	58	START	1582314754412	1582314754412
USER	Pedido	12	START	1582314754285	1582314754285
USER	Pedido	2	START	1582314754233	1582314754233
USER	Pedido	62	START	1582314754420	1582314754420
USER	Pedido	63	START	1582314754421	1582314754421
USER	Pedido	5	START	1582314754281	1582314754281
USER	Pedido	6	START	1582314754277	1582314754277
USER	Pedido	66	START	1582314754441	1582314754441
USER	Pedido	67	START	1582314754443	1582314754443
USER	Pedido	46	START	1582314754401	1582314754401
USER	Pedido	7	START	1582314754269	1582314754269
USER	Pedido	65	START	1582314754429	1582314754429
USER	Pedido	69	START	1582314754482	1582314754482
USER	Pedido	70	START	1582314754483	1582314754483
USER	Pedido	64	START	1582314754422	1582314754422
USER	Pedido	68	START	1582314754444	1582314754444
USER	Pedido	74	START	1582314754486	1582314754486
USER	Pedido	75	START	1582314754487	1582314754487
USER	Pedido	76	START	1582314754487	1582314754487
USER	Pedido	72	START	1582314754484	1582314754484
USER	Pedido	77	START	1582314754488	1582314754488
USER	Pedido	59	START	1582314754416	1582314754416
USER	Pedido	61	START	1582314754419	1582314754419
USER	Pedido	60	START	1582314754415	1582314754415
USER	Pedido	55	START	1582314754411	1582314754411
USER	Pedido	79	START	1582314754488	1582314754488
USER	Pedido	52	START	1582314754408	1582314754408
USER	Pedido	73	START	1582314754484	1582314754484
USER	Pedido	78	START	1582314754488	1582314754488
USER	Pedido	51	START	1582314754406	1582314754406
USER	Pedido	80	START	1582314754489	1582314754489
USER	Pedido	71	START	1582314754484	1582314754484
USER	Pedido	49	START	1582314754404	1582314754404
REQUEST	19		ResgasaToken	1582314754382	1582314760844	OK	 
REQUEST	14		ResgasaToken	1582314754380	1582314760843	OK	 
REQUEST	64		ResgasaToken	1582314754486	1582314760853	OK	 
REQUEST	21		ResgasaToken	1582314754385	1582314760845	OK	 
REQUEST	2		ResgasaToken	1582314754372	1582314760843	OK	 
REQUEST	7		ResgasaToken	1582314754372	1582314760842	OK	 
REQUEST	68		ResgasaToken	1582314754487	1582314760845	OK	 
REQUEST	33		ResgasaToken	1582314754390	1582314760842	OK	 
REQUEST	29		ResgasaToken	1582314754394	1582314761042	OK	 
REQUEST	76		ResgasaToken	1582314754488	1582314761045	OK	 
REQUEST	63		ResgasaToken	1582314754422	1582314761048	OK	 
REQUEST	43		ResgasaToken	1582314754398	1582314761042	OK	 
REQUEST	73		ResgasaToken	1582314754493	1582314761050	OK	 
REQUEST	58		ResgasaToken	1582314754413	1582314761043	OK	 
REQUEST	48		ResgasaToken	1582314754404	1582314761041	OK	 
REQUEST	45		ResgasaToken	1582314754409	1582314761052	OK	 
REQUEST	70		ResgasaToken	1582314754484	1582314761051	OK	 
REQUEST	79		ResgasaToken	1582314754492	1582314761054	OK	 
REQUEST	40		ResgasaToken	1582314754411	1582314761060	OK	 
REQUEST	77		ResgasaToken	1582314754489	1582314761062	OK	 
REQUEST	28		ResgasaToken	1582314754386	1582314761057	OK	 
REQUEST	20		ResgasaToken	1582314754381	1582314761067	OK	 
REQUEST	8		ResgasaToken	1582314754372	1582314761068	OK	 
REQUEST	30		ResgasaToken	1582314754394	1582314761063	OK	 
REQUEST	41		ResgasaToken	1582314754412	1582314761058	OK	 
REQUEST	27		ResgasaToken	1582314754386	1582314761056	OK	 
REQUEST	18		ResgasaToken	1582314754381	1582314761059	OK	 
REQUEST	62		ResgasaToken	1582314754421	1582314761072	OK	 
REQUEST	50		ResgasaToken	1582314754408	1582314761072	OK	 
REQUEST	36		ResgasaToken	1582314754401	1582314761069	OK	 
REQUEST	26		ResgasaToken	1582314754386	1582314761074	OK	 
REQUEST	13		ResgasaToken	1582314754378	1582314761074	OK	 
REQUEST	66		ResgasaToken	1582314754442	1582314761076	OK	 
REQUEST	16		ResgasaToken	1582314754378	1582314761069	OK	 
REQUEST	46		ResgasaToken	1582314754402	1582314761074	OK	 
REQUEST	57		ResgasaToken	1582314754413	1582314761070	OK	 
REQUEST	12		ResgasaToken	1582314754373	1582314761079	OK	 
REQUEST	49		ResgasaToken	1582314754494	1582314761087	OK	 
REQUEST	17		ResgasaToken	1582314754379	1582314761089	OK	 
REQUEST	1		ResgasaToken	1582314754377	1582314761091	OK	 
REQUEST	44		ResgasaToken	1582314754405	1582314761089	OK	 
REQUEST	78		ResgasaToken	1582314754493	1582314761092	OK	 
REQUEST	5		ResgasaToken	1582314754372	1582314761091	OK	 
REQUEST	56		ResgasaToken	1582314754412	1582314761103	OK	 
REQUEST	60		ResgasaToken	1582314754491	1582314761098	OK	 
REQUEST	47		ResgasaToken	1582314754403	1582314761086	OK	 
REQUEST	75		ResgasaToken	1582314754488	1582314761081	OK	 
REQUEST	67		ResgasaToken	1582314754444	1582314761107	OK	 
REQUEST	42		ResgasaToken	1582314754402	1582314761093	OK	 
REQUEST	4		ResgasaToken	1582314754382	1582314761108	OK	 
REQUEST	74		ResgasaToken	1582314754487	1582314761112	OK	 
REQUEST	37		ResgasaToken	1582314754394	1582314761105	OK	 
REQUEST	6		ResgasaToken	1582314754372	1582314761104	OK	 
REQUEST	71		ResgasaToken	1582314754494	1582314761116	OK	 
REQUEST	38		ResgasaToken	1582314754395	1582314761116	OK	 
REQUEST	80		ResgasaToken	1582314754493	1582314761119	OK	 
REQUEST	52		ResgasaToken	1582314754493	1582314761116	OK	 
REQUEST	72		ResgasaToken	1582314754488	1582314761121	OK	 
REQUEST	53		ResgasaToken	1582314754410	1582314761117	OK	 
REQUEST	32		ResgasaToken	1582314754390	1582314761123	OK	 
REQUEST	11		ResgasaToken	1582314754372	1582314761109	OK	 
REQUEST	22		ResgasaToken	1582314754385	1582314761125	OK	 
REQUEST	39		ResgasaToken	1582314754398	1582314761119	OK	 
REQUEST	10		ResgasaToken	1582314754379	1582314761115	OK	 
REQUEST	34		ResgasaToken	1582314754391	1582314761129	OK	 
REQUEST	61		ResgasaToken	1582314754490	1582314761123	OK	 
REQUEST	55		ResgasaToken	1582314754491	1582314761128	OK	 
REQUEST	31		ResgasaToken	1582314754391	1582314761134	OK	 
REQUEST	59		ResgasaToken	1582314754490	1582314761128	OK	 
REQUEST	65		ResgasaToken	1582314754484	1582314761093	OK	 
REQUEST	54		ResgasaToken	1582314754411	1582314761135	OK	 
REQUEST	25		ResgasaToken	1582314754385	1582314761138	OK	 
REQUEST	69		ResgasaToken	1582314754484	1582314761136	OK	 
REQUEST	3		ResgasaToken	1582314754372	1582314761140	OK	 
REQUEST	51		ResgasaToken	1582314754493	1582314761142	OK	 
REQUEST	24		ResgasaToken	1582314754385	1582314761144	OK	 
REQUEST	35		ResgasaToken	1582314754396	1582314761145	OK	 
REQUEST	9		ResgasaToken	1582314754374	1582314761150	OK	 
REQUEST	15		ResgasaToken	1582314754388	1582314761136	OK	 
REQUEST	23		ResgasaToken	1582314754387	1582314761157	OK	 
REQUEST	29		Pedido	1582314761157	1582314764148	OK	 
REQUEST	33		Pedido	1582314761155	1582314764121	KO	status.find.is(200), but actually found 500
REQUEST	77		Pedido	1582314761190	1582314764168	OK	 
REQUEST	43		Pedido	1582314761173	1582314764118	KO	status.find.is(200), but actually found 500
REQUEST	63		Pedido	1582314761167	1582314764120	KO	status.find.is(200), but actually found 500
REQUEST	14		Pedido	1582314761094	1582314764119	KO	status.find.is(200), but actually found 500
REQUEST	2		Pedido	1582314761135	1582314764119	KO	status.find.is(200), but actually found 500
REQUEST	58		Pedido	1582314761181	1582314764215	KO	status.find.is(200), but actually found 500
REQUEST	68		Pedido	1582314761150	1582314764245	OK	 
REQUEST	64		Pedido	1582314761113	1582314764260	OK	 
REQUEST	47		Pedido	1582314761281	1582314775097	OK	 
REQUEST	46		Pedido	1582314761256	1582314775215	OK	 
REQUEST	57		Pedido	1582314761258	1582314775292	OK	 
REQUEST	49		Pedido	1582314761262	1582314775395	OK	 
REQUEST	19		Pedido	1582314761120	1582314775699	OK	 
REQUEST	8		Pedido	1582314761203	1582314778979	OK	 
REQUEST	78		Pedido	1582314761275	1582314779060	OK	 
REQUEST	73		Pedido	1582314761178	1582314782468	OK	 
REQUEST	18		Pedido	1582314761210	1582314785309	OK	 
REQUEST	30		Pedido	1582314761208	1582314786572	OK	 
REQUEST	75		Pedido	1582314761286	1582314786655	OK	 
REQUEST	53		Pedido	1582314761307	1582314787605	OK	 
REQUEST	32		Pedido	1582314761311	1582314787662	OK	 
REQUEST	70		Pedido	1582314761188	1582314789572	OK	 
REQUEST	31		Pedido	1582314761323	1582314789672	OK	 
REQUEST	40		Pedido	1582314761193	1582314792780	OK	 
REQUEST	50		Pedido	1582314761211	1582314796321	OK	 
REQUEST	28		Pedido	1582314761191	1582314797914	KO	status.find.is(200), but actually found 500
REQUEST	79		Pedido	1582314761238	1582314799529	OK	 
REQUEST	45		Pedido	1582314761187	1582314802732	OK	 
