RUN	ResgasaSimulation	resgasasimulation	1582739464696	 	3.3.1
USER	Entregas	9	START	1582739467054	1582739467054
USER	Entregas	5	START	1582739467051	1582739467051
USER	Entregas	4	START	1582739467033	1582739467033
USER	Entregas	13	START	1582739467145	1582739467145
USER	Entregas	7	START	1582739467052	1582739467052
USER	Entregas	8	START	1582739467072	1582739467072
USER	Entregas	16	START	1582739467148	1582739467148
USER	Entregas	17	START	1582739467149	1582739467149
USER	Entregas	18	START	1582739467151	1582739467151
USER	Entregas	19	START	1582739467152	1582739467152
USER	Entregas	15	START	1582739467146	1582739467146
USER	Entregas	3	START	1582739467033	1582739467033
USER	Entregas	2	START	1582739467033	1582739467033
USER	Entregas	1	START	1582739467032	1582739467032
USER	Entregas	21	START	1582739467155	1582739467155
USER	Entregas	20	START	1582739467153	1582739467153
USER	Entregas	11	START	1582739467061	1582739467061
USER	Entregas	25	START	1582739467174	1582739467174
USER	Entregas	27	START	1582739467176	1582739467176
USER	Entregas	26	START	1582739467175	1582739467175
USER	Entregas	6	START	1582739467051	1582739467051
USER	Entregas	29	START	1582739467177	1582739467177
USER	Entregas	30	START	1582739467177	1582739467177
USER	Entregas	10	START	1582739467054	1582739467054
USER	Entregas	31	START	1582739467177	1582739467177
USER	Entregas	32	START	1582739467177	1582739467177
USER	Entregas	35	START	1582739467178	1582739467178
USER	Entregas	34	START	1582739467178	1582739467178
USER	Entregas	36	START	1582739467178	1582739467178
USER	Entregas	37	START	1582739467179	1582739467179
USER	Entregas	39	START	1582739467179	1582739467179
USER	Entregas	38	START	1582739467179	1582739467179
USER	Entregas	40	START	1582739467180	1582739467180
USER	Entregas	41	START	1582739467180	1582739467180
USER	Entregas	42	START	1582739467180	1582739467180
USER	Entregas	43	START	1582739467181	1582739467181
USER	Entregas	44	START	1582739467181	1582739467181
USER	Entregas	47	START	1582739467182	1582739467182
USER	Entregas	48	START	1582739467183	1582739467183
USER	Entregas	22	START	1582739467156	1582739467156
USER	Entregas	28	START	1582739467176	1582739467176
USER	Entregas	45	START	1582739467181	1582739467181
USER	Entregas	14	START	1582739467145	1582739467145
USER	Entregas	33	START	1582739467178	1582739467178
USER	Entregas	12	START	1582739467073	1582739467073
USER	Entregas	24	START	1582739467170	1582739467170
USER	Entregas	56	START	1582739467193	1582739467193
USER	Entregas	23	START	1582739467162	1582739467162
USER	Entregas	58	START	1582739467204	1582739467204
USER	Entregas	59	START	1582739467205	1582739467205
USER	Entregas	55	START	1582739467189	1582739467189
USER	Entregas	52	START	1582739467188	1582739467188
USER	Entregas	61	START	1582739467208	1582739467208
USER	Entregas	62	START	1582739467208	1582739467208
USER	Entregas	64	START	1582739467209	1582739467209
USER	Entregas	53	START	1582739467189	1582739467189
USER	Entregas	54	START	1582739467189	1582739467189
USER	Entregas	65	START	1582739467210	1582739467210
USER	Entregas	67	START	1582739467211	1582739467211
USER	Entregas	66	START	1582739467211	1582739467211
USER	Entregas	68	START	1582739467211	1582739467211
USER	Entregas	63	START	1582739467209	1582739467209
USER	Entregas	70	START	1582739467212	1582739467212
USER	Entregas	71	START	1582739467212	1582739467212
USER	Entregas	72	START	1582739467212	1582739467212
USER	Entregas	73	START	1582739467212	1582739467212
USER	Entregas	74	START	1582739467213	1582739467213
USER	Entregas	78	START	1582739467213	1582739467213
USER	Entregas	69	START	1582739467212	1582739467212
USER	Entregas	77	START	1582739467213	1582739467213
USER	Entregas	60	START	1582739467207	1582739467207
USER	Entregas	46	START	1582739467182	1582739467182
USER	Entregas	82	START	1582739467224	1582739467224
USER	Entregas	51	START	1582739467186	1582739467186
USER	Entregas	50	START	1582739467185	1582739467185
USER	Entregas	83	START	1582739467226	1582739467226
USER	Entregas	84	START	1582739467226	1582739467226
USER	Entregas	85	START	1582739467226	1582739467226
USER	Entregas	86	START	1582739467226	1582739467226
USER	Entregas	87	START	1582739467226	1582739467226
USER	Entregas	89	START	1582739467227	1582739467227
USER	Entregas	88	START	1582739467227	1582739467227
USER	Entregas	90	START	1582739467227	1582739467227
USER	Entregas	92	START	1582739467228	1582739467228
USER	Entregas	91	START	1582739467228	1582739467228
USER	Entregas	93	START	1582739467228	1582739467228
USER	Entregas	95	START	1582739467228	1582739467228
USER	Entregas	96	START	1582739467229	1582739467229
USER	Entregas	98	START	1582739467229	1582739467229
USER	Entregas	81	START	1582739467223	1582739467223
USER	Entregas	97	START	1582739467229	1582739467229
USER	Entregas	100	START	1582739467230	1582739467230
USER	Entregas	99	START	1582739467230	1582739467230
USER	Entregas	80	START	1582739467221	1582739467221
USER	Entregas	79	START	1582739467221	1582739467221
USER	Entregas	57	START	1582739467200	1582739467200
USER	Entregas	49	START	1582739467184	1582739467184
USER	Entregas	94	START	1582739467228	1582739467228
USER	Entregas	76	START	1582739467213	1582739467213
USER	Entregas	75	START	1582739467213	1582739467213
REQUEST	3		ResgasaToken	1582739467140	1582739467283	OK	 
REQUEST	22		ResgasaToken	1582739467185	1582739467312	OK	 
REQUEST	2		ResgasaToken	1582739467141	1582739467283	OK	 
REQUEST	5		ResgasaToken	1582739467140	1582739467299	OK	 
REQUEST	20		ResgasaToken	1582739467174	1582739467294	OK	 
REQUEST	1		ResgasaToken	1582739467141	1582739467333	OK	 
REQUEST	8		ResgasaToken	1582739467141	1582739467328	OK	 
REQUEST	15		ResgasaToken	1582739467147	1582739467297	OK	 
REQUEST	9		ResgasaToken	1582739467141	1582739467473	OK	 
REQUEST	21		ResgasaToken	1582739467174	1582739467476	OK	 
REQUEST	37		ResgasaToken	1582739467180	1582739467479	OK	 
REQUEST	45		ResgasaToken	1582739467188	1582739467481	OK	 
REQUEST	36		ResgasaToken	1582739467179	1582739467474	OK	 
REQUEST	25		ResgasaToken	1582739467176	1582739467477	OK	 
REQUEST	19		ResgasaToken	1582739467154	1582739467485	OK	 
REQUEST	30		ResgasaToken	1582739467178	1582739467486	OK	 
REQUEST	84		ResgasaToken	1582739467227	1582739467485	OK	 
REQUEST	38		ResgasaToken	1582739467180	1582739467491	OK	 
REQUEST	31		ResgasaToken	1582739467178	1582739467498	OK	 
REQUEST	6		ResgasaToken	1582739467177	1582739467503	OK	 
REQUEST	17		ResgasaToken	1582739467151	1582739467491	OK	 
REQUEST	33		ResgasaToken	1582739467189	1582739467506	OK	 
REQUEST	51		ResgasaToken	1582739467226	1582739467507	OK	 
REQUEST	13		ResgasaToken	1582739467146	1582739467484	OK	 
REQUEST	73		ResgasaToken	1582739467213	1582739467509	OK	 
REQUEST	61		ResgasaToken	1582739467209	1582739467510	OK	 
REQUEST	49		ResgasaToken	1582739467238	1582739467511	OK	 
REQUEST	29		ResgasaToken	1582739467177	1582739467512	OK	 
REQUEST	7		ResgasaToken	1582739467147	1582739467503	OK	 
REQUEST	47		ResgasaToken	1582739467182	1582739467514	OK	 
REQUEST	11		ResgasaToken	1582739467176	1582739467511	OK	 
REQUEST	44		ResgasaToken	1582739467181	1582739467521	OK	 
REQUEST	32		ResgasaToken	1582739467178	1582739467520	OK	 
REQUEST	98		ResgasaToken	1582739467230	1582739467526	OK	 
REQUEST	14		ResgasaToken	1582739467154	1582739467505	OK	 
REQUEST	18		ResgasaToken	1582739467153	1582739467528	OK	 
REQUEST	56		ResgasaToken	1582739467204	1582739467528	OK	 
REQUEST	53		ResgasaToken	1582739467211	1582739467519	OK	 
REQUEST	85		ResgasaToken	1582739467227	1582739467530	OK	 
REQUEST	65		ResgasaToken	1582739467211	1582739467513	OK	 
REQUEST	77		ResgasaToken	1582739467223	1582739467531	OK	 
REQUEST	62		ResgasaToken	1582739467209	1582739467531	OK	 
