RUN	ResgasaSimulation	resgasasimulation	1582733554717	 	3.3.1
USER	Pedido	4	START	1582733557386	1582733557386
USER	Pedido	13	START	1582733557478	1582733557478
USER	Pedido	8	START	1582733557397	1582733557397
USER	Pedido	10	START	1582733557407	1582733557407
USER	Pedido	15	START	1582733557482	1582733557482
USER	Pedido	16	START	1582733557484	1582733557484
USER	Pedido	17	START	1582733557485	1582733557485
USER	Pedido	9	START	1582733557392	1582733557392
USER	Pedido	2	START	1582733557386	1582733557386
USER	Pedido	20	START	1582733557487	1582733557487
USER	Pedido	18	START	1582733557486	1582733557486
USER	Pedido	6	START	1582733557390	1582733557390
USER	Pedido	21	START	1582733557488	1582733557488
USER	Pedido	22	START	1582733557489	1582733557489
USER	Pedido	23	START	1582733557489	1582733557489
USER	Pedido	24	START	1582733557490	1582733557490
USER	Pedido	19	START	1582733557486	1582733557486
USER	Pedido	25	START	1582733557490	1582733557490
USER	Pedido	27	START	1582733557490	1582733557490
USER	Pedido	28	START	1582733557491	1582733557491
USER	Pedido	29	START	1582733557491	1582733557491
USER	Pedido	30	START	1582733557491	1582733557491
USER	Pedido	12	START	1582733557423	1582733557423
USER	Pedido	11	START	1582733557418	1582733557418
USER	Pedido	34	START	1582733557492	1582733557492
USER	Pedido	35	START	1582733557493	1582733557493
USER	Pedido	37	START	1582733557493	1582733557493
USER	Pedido	36	START	1582733557493	1582733557493
USER	Pedido	32	START	1582733557492	1582733557492
USER	Pedido	41	START	1582733557494	1582733557494
USER	Pedido	39	START	1582733557494	1582733557494
USER	Pedido	40	START	1582733557494	1582733557494
USER	Pedido	44	START	1582733557495	1582733557495
USER	Pedido	26	START	1582733557490	1582733557490
USER	Pedido	42	START	1582733557495	1582733557495
USER	Pedido	7	START	1582733557390	1582733557390
USER	Pedido	43	START	1582733557495	1582733557495
USER	Pedido	31	START	1582733557492	1582733557492
USER	Pedido	50	START	1582733557500	1582733557500
USER	Pedido	38	START	1582733557494	1582733557494
USER	Pedido	48	START	1582733557497	1582733557497
USER	Pedido	51	START	1582733557501	1582733557501
USER	Pedido	52	START	1582733557501	1582733557501
USER	Pedido	53	START	1582733557501	1582733557501
USER	Pedido	55	START	1582733557501	1582733557501
USER	Pedido	54	START	1582733557501	1582733557501
USER	Pedido	56	START	1582733557502	1582733557502
USER	Pedido	58	START	1582733557502	1582733557502
USER	Pedido	57	START	1582733557502	1582733557502
USER	Pedido	60	START	1582733557503	1582733557503
USER	Pedido	59	START	1582733557503	1582733557503
USER	Pedido	61	START	1582733557503	1582733557503
USER	Pedido	63	START	1582733557504	1582733557504
USER	Pedido	64	START	1582733557504	1582733557504
USER	Pedido	66	START	1582733557505	1582733557505
USER	Pedido	62	START	1582733557504	1582733557504
USER	Pedido	65	START	1582733557505	1582733557505
USER	Pedido	68	START	1582733557506	1582733557506
USER	Pedido	67	START	1582733557506	1582733557506
USER	Pedido	69	START	1582733557507	1582733557507
USER	Pedido	70	START	1582733557507	1582733557507
USER	Pedido	47	START	1582733557497	1582733557497
USER	Pedido	72	START	1582733557508	1582733557508
USER	Pedido	73	START	1582733557508	1582733557508
USER	Pedido	75	START	1582733557508	1582733557508
USER	Pedido	74	START	1582733557508	1582733557508
USER	Pedido	3	START	1582733557386	1582733557386
USER	Pedido	79	START	1582733557510	1582733557510
USER	Pedido	46	START	1582733557497	1582733557497
USER	Pedido	80	START	1582733557511	1582733557511
USER	Pedido	49	START	1582733557497	1582733557497
