RUN	ResgasaSimulation	resgasasimulation	1581645218235	 	3.3.1
USER	Pedido	1	START	1581645221716	1581645221716
USER	Pedido	8	START	1581645221793	1581645221793
USER	Pedido	13	START	1581645221827	1581645221827
USER	Pedido	14	START	1581645221827	1581645221827
USER	Pedido	3	START	1581645221716	1581645221716
USER	Pedido	2	START	1581645221716	1581645221716
USER	Pedido	16	START	1581645221829	1581645221829
USER	Pedido	10	START	1581645221806	1581645221806
USER	Pedido	12	START	1581645221818	1581645221818
USER	Pedido	19	START	1581645221832	1581645221832
USER	Pedido	17	START	1581645221831	1581645221831
USER	Pedido	6	START	1581645221792	1581645221792
USER	Pedido	20	START	1581645221832	1581645221832
USER	Pedido	22	START	1581645221834	1581645221834
USER	Pedido	24	START	1581645221835	1581645221835
USER	Pedido	25	START	1581645221835	1581645221835
USER	Pedido	23	START	1581645221834	1581645221834
USER	Pedido	15	START	1581645221828	1581645221828
USER	Pedido	29	START	1581645221837	1581645221837
USER	Pedido	27	START	1581645221836	1581645221836
USER	Pedido	31	START	1581645221838	1581645221838
USER	Pedido	28	START	1581645221837	1581645221837
USER	Pedido	32	START	1581645221839	1581645221839
USER	Pedido	30	START	1581645221838	1581645221838
USER	Pedido	18	START	1581645221831	1581645221831
USER	Pedido	26	START	1581645221836	1581645221836
USER	Pedido	34	START	1581645221840	1581645221840
USER	Pedido	33	START	1581645221839	1581645221839
USER	Pedido	38	START	1581645221842	1581645221842
USER	Pedido	40	START	1581645221844	1581645221844
USER	Pedido	35	START	1581645221840	1581645221840
USER	Pedido	39	START	1581645221843	1581645221843
USER	Pedido	41	START	1581645221845	1581645221845
USER	Pedido	44	START	1581645221846	1581645221846
USER	Pedido	45	START	1581645221847	1581645221847
USER	Pedido	42	START	1581645221846	1581645221846
USER	Pedido	36	START	1581645221841	1581645221841
USER	Pedido	47	START	1581645221847	1581645221847
USER	Pedido	21	START	1581645221833	1581645221833
USER	Pedido	49	START	1581645221849	1581645221849
USER	Pedido	50	START	1581645221849	1581645221849
USER	Pedido	51	START	1581645221850	1581645221850
USER	Pedido	37	START	1581645221842	1581645221842
USER	Pedido	52	START	1581645221851	1581645221851
USER	Pedido	54	START	1581645221851	1581645221851
USER	Pedido	9	START	1581645221794	1581645221794
USER	Pedido	55	START	1581645221852	1581645221852
USER	Pedido	57	START	1581645221852	1581645221852
USER	Pedido	58	START	1581645221853	1581645221853
USER	Pedido	59	START	1581645221853	1581645221853
USER	Pedido	61	START	1581645221854	1581645221854
USER	Pedido	53	START	1581645221851	1581645221851
USER	Pedido	63	START	1581645221857	1581645221857
USER	Pedido	60	START	1581645221854	1581645221854
USER	Pedido	62	START	1581645221855	1581645221855
USER	Pedido	65	START	1581645221858	1581645221858
USER	Pedido	66	START	1581645221859	1581645221859
USER	Pedido	7	START	1581645221813	1581645221813
USER	Pedido	67	START	1581645221860	1581645221860
USER	Pedido	69	START	1581645221861	1581645221861
USER	Pedido	64	START	1581645221858	1581645221858
USER	Pedido	71	START	1581645221862	1581645221862
USER	Pedido	72	START	1581645221862	1581645221862
USER	Pedido	73	START	1581645221863	1581645221863
USER	Pedido	74	START	1581645221864	1581645221864
USER	Pedido	68	START	1581645221860	1581645221860
USER	Pedido	56	START	1581645221852	1581645221852
USER	Pedido	78	START	1581645221867	1581645221867
USER	Pedido	46	START	1581645221847	1581645221847
USER	Pedido	70	START	1581645221861	1581645221861
USER	Pedido	80	START	1581645221869	1581645221869
USER	Pedido	77	START	1581645221865	1581645221865
USER	Pedido	4	START	1581645221719	1581645221719
USER	Pedido	76	START	1581645221865	1581645221865
USER	Pedido	75	START	1581645221864	1581645221864
USER	Pedido	48	START	1581645221849	1581645221849
USER	Pedido	43	START	1581645221846	1581645221846
USER	Pedido	5	START	1581645221761	1581645221761
USER	Pedido	79	START	1581645221868	1581645221868
USER	Pedido	11	START	1581645221814	1581645221814
REQUEST	74		ResgasaToken	1581645221865	1581645226682	OK	 
REQUEST	29		ResgasaToken	1581645221837	1581645226683	OK	 
REQUEST	28		ResgasaToken	1581645221839	1581645226682	OK	 
REQUEST	33		ResgasaToken	1581645221843	1581645226682	OK	 
REQUEST	24		ResgasaToken	1581645221836	1581645226682	OK	 
REQUEST	14		ResgasaToken	1581645221828	1581645226684	OK	 
REQUEST	51		ResgasaToken	1581645221851	1581645226682	OK	 
REQUEST	7		ResgasaToken	1581645221819	1581645226693	OK	 
REQUEST	13		ResgasaToken	1581645221828	1581645226863	OK	 
REQUEST	2		ResgasaToken	1581645221819	1581645226863	OK	 
REQUEST	5		ResgasaToken	1581645221822	1581645226878	OK	 
REQUEST	20		ResgasaToken	1581645221834	1581645226871	OK	 
REQUEST	27		ResgasaToken	1581645221837	1581645226879	OK	 
REQUEST	79		ResgasaToken	1581645221883	1581645226871	OK	 
REQUEST	41		ResgasaToken	1581645221845	1581645226875	OK	 
REQUEST	8		ResgasaToken	1581645221822	1581645226874	OK	 
REQUEST	78		ResgasaToken	1581645221868	1581645226875	OK	 
REQUEST	15		ResgasaToken	1581645221829	1581645226897	OK	 
REQUEST	22		ResgasaToken	1581645221835	1581645226903	OK	 
REQUEST	60		ResgasaToken	1581645221855	1581645226893	OK	 
REQUEST	43		ResgasaToken	1581645221878	1581645226893	OK	 
REQUEST	4		ResgasaToken	1581645221822	1581645226905	OK	 
REQUEST	11		ResgasaToken	1581645221823	1581645226905	OK	 
REQUEST	17		ResgasaToken	1581645221834	1581645226896	OK	 
REQUEST	53		ResgasaToken	1581645221856	1581645226906	OK	 
REQUEST	77		ResgasaToken	1581645221871	1581645226907	OK	 
REQUEST	6		ResgasaToken	1581645221819	1581645226908	OK	 
